start_time,datetime,flow_mean,flow_total,transactions_count_flow
1650456000000,2022-04-20 12:00:00,0.0,0.0,0
1650459600000,2022-04-20 13:00:00,0.0,0.0,0
1650463200000,2022-04-20 14:00:00,0.0,0.0,0
1650466800000,2022-04-20 15:00:00,0.00051093,0.00102186,2
1650470400000,2022-04-20 16:00:00,0.0,0.0,0
1650474000000,2022-04-20 17:00:00,0.0,0.0,0
1650477600000,2022-04-20 18:00:00,0.0,0.0,0
1650481200000,2022-04-20 19:00:00,0.0,0.0,0
1650484800000,2022-04-20 20:00:00,0.0,0.0,0
1650488400000,2022-04-20 21:00:00,0.00124063,0.00124063,1
1650492000000,2022-04-20 22:00:00,0.0,0.0,0
1650495600000,2022-04-20 23:00:00,0.0,0.0,0
1650499200000,2022-04-21 00:00:00,0.0,0.0,0
1650502800000,2022-04-21 01:00:00,0.0,0.0,0
1650506400000,2022-04-21 02:00:00,0.00107398,0.00214797,2
1650510000000,2022-04-21 03:00:00,0.0,0.0,0
1650513600000,2022-04-21 04:00:00,0.16977825,1.18844775,7
1650517200000,2022-04-21 05:00:00,0.0,0.0,0
1650520800000,2022-04-21 06:00:00,0.0,0.0,0
1650524400000,2022-04-21 07:00:00,0.0,0.0,0
1650528000000,2022-04-21 08:00:00,0.0054017,0.01080341,2
1650531600000,2022-04-21 09:00:00,0.0,0.0,0
1650535200000,2022-04-21 10:00:00,0.0,0.0,0
1650538800000,2022-04-21 11:00:00,0.0,0.0,0
1650542400000,2022-04-21 12:00:00,0.0,0.0,0
1650546000000,2022-04-21 13:00:00,0.0,0.0,0
1650549600000,2022-04-21 14:00:00,0.0,0.0,0
1650553200000,2022-04-21 15:00:00,0.0,0.0,0
1650556800000,2022-04-21 16:00:00,0.00040174,0.00040174,1
1650560400000,2022-04-21 17:00:00,0.0,0.0,0
1650564000000,2022-04-21 18:00:00,0.0,0.0,0
1650567600000,2022-04-21 19:00:00,0.0,0.0,0
1650571200000,2022-04-21 20:00:00,0.0,0.0,0
1650574800000,2022-04-21 21:00:00,0.0,0.0,0
1650578400000,2022-04-21 22:00:00,0.0,0.0,0
1650582000000,2022-04-21 23:00:00,0.0,0.0,0
1650585600000,2022-04-22 00:00:00,0.0,0.0,0
1650589200000,2022-04-22 01:00:00,0.0,0.0,0
1650592800000,2022-04-22 02:00:00,0.0,0.0,0
1650596400000,2022-04-22 03:00:00,0.18473697,1.1084218,6
1650600000000,2022-04-22 04:00:00,0.0,0.0,0
1650603600000,2022-04-22 05:00:00,0.00162535,0.00162535,1
1650607200000,2022-04-22 06:00:00,0.0,0.0,0
1650610800000,2022-04-22 07:00:00,0.0,0.0,0
1650614400000,2022-04-22 08:00:00,0.0,0.0,0
1650618000000,2022-04-22 09:00:00,0.0,0.0,0
1650621600000,2022-04-22 10:00:00,0.0,0.0,0
1650625200000,2022-04-22 11:00:00,0.00061312,0.00061312,1
1650628800000,2022-04-22 12:00:00,0.0,0.0,0
1650632400000,2022-04-22 13:00:00,0.0,0.0,0
1650636000000,2022-04-22 14:00:00,0.0,0.0,0
1650639600000,2022-04-22 15:00:00,0.0,0.0,0
1650643200000,2022-04-22 16:00:00,0.0,0.0,0
1650646800000,2022-04-22 17:00:00,0.0,0.0,0
1650650400000,2022-04-22 18:00:00,0.0,0.0,0
1650654000000,2022-04-22 19:00:00,0.0007,0.0007,1
1650657600000,2022-04-22 20:00:00,0.0,0.0,0
1650661200000,2022-04-22 21:00:00,0.0,0.0,0
1650664800000,2022-04-22 22:00:00,0.0,0.0,0
1650668400000,2022-04-22 23:00:00,0.0,0.0,0
1650672000000,2022-04-23 00:00:00,0.0006015,0.0006015,1
1650675600000,2022-04-23 01:00:00,0.0,0.0,0
1650679200000,2022-04-23 02:00:00,0.0,0.0,0
1650682800000,2022-04-23 03:00:00,0.00218441,0.00218441,1
1650686400000,2022-04-23 04:00:00,0.0,0.0,0
1650690000000,2022-04-23 05:00:00,0.0,0.0,0
1650693600000,2022-04-23 06:00:00,0.19240305,1.34682132,7
1650697200000,2022-04-23 07:00:00,0.0,0.0,0
1650700800000,2022-04-23 08:00:00,0.0,0.0,0
1650704400000,2022-04-23 09:00:00,0.0,0.0,0
1650708000000,2022-04-23 10:00:00,0.0,0.0,0
1650711600000,2022-04-23 11:00:00,0.0,0.0,0
1650715200000,2022-04-23 12:00:00,0.0,0.0,0
1650718800000,2022-04-23 13:00:00,0.0,0.0,0
1650722400000,2022-04-23 14:00:00,0.0,0.0,0
1650726000000,2022-04-23 15:00:00,0.00030114,0.00030114,1
1650729600000,2022-04-23 16:00:00,0.0,0.0,0
1650733200000,2022-04-23 17:00:00,0.0,0.0,0
1650736800000,2022-04-23 18:00:00,0.0,0.0,0
1650740400000,2022-04-23 19:00:00,0.0,0.0,0
1650744000000,2022-04-23 20:00:00,0.0,0.0,0
1650747600000,2022-04-23 21:00:00,0.0,0.0,0
1650751200000,2022-04-23 22:00:00,0.00246718,0.00246718,1
1650754800000,2022-04-23 23:00:00,0.0,0.0,0
1650758400000,2022-04-24 00:00:00,0.0,0.0,0
1650762000000,2022-04-24 01:00:00,0.0,0.0,0
1650765600000,2022-04-24 02:00:00,0.00521759,0.01043518,2
1650769200000,2022-04-24 03:00:00,0.13946897,0.97628278,7
1650772800000,2022-04-24 04:00:00,0.0,0.0,0
1650776400000,2022-04-24 05:00:00,0.0,0.0,0
1650780000000,2022-04-24 06:00:00,0.0,0.0,0
1650783600000,2022-04-24 07:00:00,0.0,0.0,0
1650787200000,2022-04-24 08:00:00,0.02882042,0.02882042,1
1650790800000,2022-04-24 09:00:00,0.0,0.0,0
1650794400000,2022-04-24 10:00:00,0.0,0.0,0
1650798000000,2022-04-24 11:00:00,0.0,0.0,0
1650801600000,2022-04-24 12:00:00,0.0,0.0,0
1650805200000,2022-04-24 13:00:00,0.0,0.0,0
1650808800000,2022-04-24 14:00:00,0.0,0.0,0
1650812400000,2022-04-24 15:00:00,0.00111296,0.00111296,1
1650816000000,2022-04-24 16:00:00,0.0,0.0,0
1650819600000,2022-04-24 17:00:00,0.0,0.0,0
1650823200000,2022-04-24 18:00:00,0.0,0.0,0
1650826800000,2022-04-24 19:00:00,0.0,0.0,0
1650830400000,2022-04-24 20:00:00,0.0,0.0,0
1650834000000,2022-04-24 21:00:00,0.0,0.0,0
1650837600000,2022-04-24 22:00:00,0.0,0.0,0
1650841200000,2022-04-24 23:00:00,0.0,0.0,0
1650844800000,2022-04-25 00:00:00,0.0,0.0,0
1650848400000,2022-04-25 01:00:00,0.0,0.0,0
1650852000000,2022-04-25 02:00:00,0.00692477,0.00692477,1
1650855600000,2022-04-25 03:00:00,0.0,0.0,0
1650859200000,2022-04-25 04:00:00,0.17115437,1.02692625,6
1650862800000,2022-04-25 05:00:00,0.00049742,0.00049742,1
1650866400000,2022-04-25 06:00:00,0.0,0.0,0
1650870000000,2022-04-25 07:00:00,0.0,0.0,0
1650873600000,2022-04-25 08:00:00,0.0,0.0,0
1650877200000,2022-04-25 09:00:00,0.0,0.0,0
1650880800000,2022-04-25 10:00:00,0.00192641,0.00192641,1
1650884400000,2022-04-25 11:00:00,0.0,0.0,0
1650888000000,2022-04-25 12:00:00,0.0,0.0,0
1650891600000,2022-04-25 13:00:00,0.0,0.0,0
1650895200000,2022-04-25 14:00:00,0.0,0.0,0
1650898800000,2022-04-25 15:00:00,0.0,0.0,0
1650902400000,2022-04-25 16:00:00,0.0,0.0,0
1650906000000,2022-04-25 17:00:00,0.0,0.0,0
1650909600000,2022-04-25 18:00:00,0.0,0.0,0
1650913200000,2022-04-25 19:00:00,0.0,0.0,0
1650916800000,2022-04-25 20:00:00,0.0,0.0,0
1650920400000,2022-04-25 21:00:00,0.0,0.0,0
1650924000000,2022-04-25 22:00:00,0.0003,0.0003,1
1650927600000,2022-04-25 23:00:00,0.0,0.0,0
1650931200000,2022-04-26 00:00:00,0.0,0.0,0
