start_time,close,date,high,low,open,volume
1565568000000,11390.75683104,2019-08-12,11580.07955972,11222.89353328,11552.08591958,30333.756681017727
1565654400000,10849.45713842,2019-08-13,11450.69263873,10786.20066794,11410.06308437,62028.92231044761
1565740800000,10041.764125,2019-08-14,10885.80339053,9923.69196261,10861.76289138,105991.81956392356
1565827200000,10301.06519206,2019-08-15,10471.45839616,9485.05731616,10035.70667399,97910.70710362164
1565913600000,10348.70763253,2019-08-16,10552.20183751,9750.51386856,10291.96113375,94828.8108717086
1566000000000,10217.12055338,2019-08-17,10471.28389288,9993.6612145,10351.67896444,45938.69478221512
1566086400000,10324.3880159,2019-08-18,10516.09958321,10080.1274112,10219.82210634,38347.14614177886
1566172800000,10918.23380805,2019-08-19,10940.9340774,10261.28574207,10323.28693925,63504.57003459873
1566259200000,10762.45392557,2019-08-20,10972.19747859,10572.8015715,10934.2479009,51937.22356251583
1566345600000,10145.19298042,2019-08-21,10822.03820604,9846.58259934,10766.79851743,87175.73532728411
1566432000000,10102.47563134,2019-08-22,10249.71140956,9770.92656538,10141.07737168,59665.07613175271
1566518400000,10391.23980321,2019-08-23,10464.45174068,10034.94419622,10103.62546057,49870.12959993025
1566604800000,10144.71271753,2019-08-24,10426.40533693,9894.52803678,10399.01238771,46455.18198029929
1566691200000,10140.47100114,2019-08-25,10362.30931423,9857.74692992,10144.6807223,43803.077026268686
1566777600000,10365.41951265,2019-08-26,10661.70222487,10138.41421907,10141.41885329,73632.33956815641
1566864000000,10184.48037164,2019-08-27,10396.59396756,10031.75962644,10377.50679292,44711.34776272932
1566950400000,9719.15460502,2019-08-28,10306.37636343,9555.23284926,10187.92669404,78807.98502040232
1567036800000,9494.26929105,2019-08-29,9726.503043,9325.59766115,9724.11596672,64352.74492053759
1567123200000,9591.70796342,2019-08-30,9710.29926221,9352.25698774,9493.84451202,45536.406836489354
1567209600000,9589.78243658,2019-08-31,9701.35733562,9427.33139603,9587.4057136,26698.98508188091
1567296000000,9723.00501341,2019-09-01,9847.27050545,9545.95694907,9596.29306606,29555.641200841183
1567382400000,10364.00878907,2019-09-02,10471.08750337,9718.60469273,9753.96515992,76702.04997683458
1567468800000,10617.03692336,2019-09-03,10788.21557873,10278.88569853,10378.5853142,84684.98829117524
1567555200000,10569.85664188,2019-09-04,10839.72645862,10373.85792967,10615.42601486,71350.97677247557
1567641600000,10566.58154356,2019-09-05,10880.21042016,10465.06022378,10567.54095684,49521.83858736182
1567728000000,10313.04759787,2019-09-06,10930.7937075,10177.60144307,10565.45505036,100208.90698519068
1567814400000,10488.02409564,2019-09-07,10581.38220805,10296.98187956,10303.1884259,38719.61724755917
1567900800000,10400.12651955,2019-09-08,10615.96092662,10234.13440818,10468.4781109,35440.67288959306
1567987200000,10326.4863968,2019-09-09,10520.55354233,10087.44591532,10410.5289302,61976.504351032825
1568073600000,10097.69331714,2019-09-10,10402.38051076,9954.21794829,10307.09859045,47508.50509987813
1568160000000,10160.13996285,2019-09-11,10297.55101796,9859.59333949,10100.21269846,52328.04259359491
1568246400000,10419.9454552,2019-09-12,10471.41371721,10041.97973606,10163.65216532,53295.14555860624
